noc,title,skill_level,2019_est_employments,2019_wage_est,job_outlook,job_openings,soft_skills
1254,Statistical officers and related research support occupations ,PS ,90,"$56,800.00",Limited ,20,"Accurate, organized, attention to detail "
1311,Accounting technicians and bookkeepers ,PS ,4790,"$50,000.00",Fair ,1060,"Organized, reliability, accurate "
1312,Insurance adjusters and claims examiners ,PS ,1020,"$70,000.00",Fair ,220,"Attention to detail, tight deadlines, work under pressure "
1313,Insurance underwriters ,PS ,410,"$59,500.00",Fair ,80,"Attention to detail, reliability, organized "
1314,"Assessors, valuators and appraisers ",PS ,450,"$76,300.00",Fair ,60,n.a. 
1411,General office support workers ,HS ,8020,"$47,500.00",Fair ,1500,"Attention to detail, organized, reliability "
1414,Receptionists ,HS ,4770,"$38,200.00",Fair ,730,"Reliability, organized, excellent oral communication "
1415,Personnel clerks ,HS ,300,"$60,500.00",Limited ,60,"Team player, organized, attention to detail, reliability "
1416,Court clerks ,HS ,80,"$50,400.00",Limited ,10,n.a. 
1422,Data entry clerks ,HS ,1140,"$47,900.00",Fair ,270,"Attention to detail, tight deadlines, work under pressure "
1423,Desktop publishing operators and related occupations ,HS ,110,"$56,500.00",Limited ,20,"Tight deadlines, excellent written communication, organized, attention to detail, accurate, excellent oral communication "
1431,Accounting and related clerks ,HS ,4010,"$49,400.00",Fair ,800,"Organized, accurate, reliability "
1432,Payroll clerks ,HS ,1170,"$63,700.00",Fair ,210,"Organized, attention to detail, accurate "
1434,"Banking, insurance and other financial clerks ",HS ,670,"$55,200.00",Fair ,120,"Attention to detail, accurate, organized, effective interpersonal skills "
1435,Collectors ,HS ,280,"$57,300.00",Fair ,60,"Excellent oral communication, effective interpersonal skills, reliability "
1451,Library assistants and clerks ,HS ,360,"$42,100.00",Fair ,80,"Organized, excellent oral communication, effective interpersonal skills, excellent written communication "
1452,"Correspondence, publication and regulatory clerks ",HS ,770,"$53,700.00",Fair ,150,"Attention to detail, team player, organized "
1454,Survey interviewers and statistical clerks ,HS ,750,"$54,000.00",Fair ,180,"Excellent oral communication, effective interpersonal skills, attention to detail "
1511,"Mail, postal and related workers ",HS ,850,"$52,200.00",Fair ,90,"Attention to detail, reliability, team player "
1512,Letter carriers ,HS ,930,"$61,700.00",Fair ,70,n.a. 
1513,"Couriers, messengers and door-to-door distributors ",HS ,1080,"$47,600.00",Fair ,230,"Reliability, attention to detail, dependability "
1521,Shippers and receivers ,HS ,3100,"$47,100.00",Fair ,570,"Attention to detail, reliability, organized "
1522,Storekeepers and parts persons ,HS ,2170,"$48,400.00",Fair ,380,"Attention to detail, reliability, team player "
1523,Production logistics coordinators ,HS ,690,"$63,700.00",Fair ,100,"Attention to detail, excellent oral communication, team player "
1524,Purchasing and inventory control workers ,HS ,840,"$47,300.00",Fair ,150,"Team player, reliability, attention to detail "
1525,Dispatchers ,HS ,1270,"$59,200.00",Fair ,200,"Attention to detail, team player, effective interpersonal skills "
1526,Transportation route and crew schedulers ,HS ,180,"$49,900.00",Fair ,40,"Organized, attention to detail, reliability "
2112,Chemists ,Univ ,220,"$76,300.00",Fair ,20,"Organized, team player, attention to detail "
2113,Geoscientists and oceanographers ,Univ ,400,"$110,000.00",Limited ,30,"Attention to detail, work under pressure, tight deadlines "
2121,Biologists and related scientists ,Univ ,750,"$82,300.00",Fair ,90,"Excellent oral communication, excellent written communication, attention to detail "
2123,"Agricultural representatives, consultants and specialists ",Univ ,1000,"$67,200.00",Fair ,90,"Attention to detail, excellent oral communication, effective interpersonal skills "
2131,Civil engineers ,Univ ,1650,"$101,600.00",Fair ,300,"Attention to detail, work under pressure, tight deadlines "
2132,Mechanical engineers ,Univ ,1140,"$83,600.00",Fair ,170,"Organized, reliability, team player "
2133,Electrical and electronics engineers ,Univ ,1060,"$108,000.00",Fair ,170,"Attention to detail, team player, accurate, excellent oral communication "
2134,Chemical engineers ,Univ ,240,"$120,800.00",Limited ,20,"Team player, excellent written communication, accurate, excellent oral communication "
2141,Industrial and manufacturing engineers ,Univ ,320,"$92,300.00",Fair ,40,"Organized, team player, effective interpersonal skills "
2142,Metallurgical and materials engineers ,Univ ,70,"$148,900.00",Limited ,10,"Effective interpersonal skills, team player, organized, initiative, judgement "
2143,Mining engineers ,Univ ,220,"$128,600.00",Limited ,20,n.a. 
2144,Geological engineers ,Univ ,90,"$91,000.00",Fair ,20,"Effective interpersonal skills, initiative, organized, excellent written communication, team player, excellent oral communication, judgement "
2145,Petroleum engineers ,Univ ,210,"$101,200.00",Limited ,0,n.a. 
2147,Computer engineers (except software engineers and designers) ,Univ ,270,"$92,600.00",Fair ,30,"Team player, effective interpersonal skills, accurate "
2148,"Other professional engineers, n.e.c. ",Univ ,100,"$89,200.00",Fair ,20,"Team player, excellent oral communication, attention to detail "
2151,Architects ,Univ ,220,"$71,800.00",Fair ,70,"Team player, organized, attention to detail, excellent oral communication "
2153,Urban and land use planners ,Univ ,300,"$80,100.00",Fair ,40,"Organized, excellent oral communication, excellent written communication "
2154,Land surveyors ,Univ ,260,"$104,900.00",Fair ,50,"Attention to detail, tight deadlines, team player "
2161,"Mathematicians, statisticians and actuaries ",Univ ,160,"$89,000.00",Fair ,20,"Team player, accurate, flexibility, effective interpersonal skills, organized, attention to detail, excellent written communication, excellent oral communication "
2171,Information systems analysts and consultants ,Univ ,3100,"$83,100.00",Fair ,370,"Team player, organized, initiative "
2172,Database analysts and data administrators ,Univ ,410,"$95,300.00",Fair ,60,"Organized, accurate, team player "
2173,Software engineers and designers ,Univ ,390,"$80,000.00",Good ,40,"Team player, initiative, effective interpersonal skills "
2174,Computer programmers and interactive media developers ,Univ ,1600,"$81,900.00",Good ,140,"Team player, initiative, effective interpersonal skills "
2175,Web designers and developers ,Univ ,330,"$56,000.00",Fair ,20,"Organized, attention to detail, team player "
2211,Chemical technologists and technicians ,PS ,870,"$69,800.00",Fair ,120,"Attention to detail, work under pressure, tight deadlines "
2212,Geological and mineral technologists and technicians ,PS ,410,"$106,200.00",Limited ,40,"Team player, judgement, attention to detail "
2221,Biological technologists and technicians ,PS ,450,"$73,700.00",Limited ,50,"Attention to detail, excellent oral communication, accurate "
2222,Agricultural and fish products inspectors ,PS ,210,"$65,900.00",Fair ,40,n.a. 
2223,Forestry technologists and technicians ,PS ,160,"$79,200.00",Limited ,20,"Attention to detail, team player, effective interpersonal skills "
2224,Conservation and fishery officers ,PS ,190,"$77,000.00",Limited ,20,"Attention to detail, flexibility, organized "
2225,Landscape and horticulture technicians and specialists ,PS ,290,"$51,700.00",Fair ,50,"Attention to detail, reliability, team player "
2231,Civil engineering technologists and technicians ,PS ,730,"$68,200.00",Fair ,120,"Attention to detail, organized, team player "
2232,Mechanical engineering technologists and technicians ,PS ,470,"$85,000.00",Fair ,70,"Team player, dependability, attention to detail "
2233,Industrial engineering and manufacturing technologists and technicians ,PS ,300,"$71,200.00",Fair ,40,"Attention to detail, team player, organized "
2234,Construction estimators ,PS ,500,"$83,400.00",Fair ,110,"Attention to detail, organized, team player "
2241,Electrical and electronics engineering technologists and technicians ,PS ,1180,"$80,100.00",Good ,200,"Attention to detail, organized, team player "
2242,Electronic service technicians (household and business equipment) ,PS ,1670,"$52,000.00",Fair ,280,"Team player, organized, attention to detail "
2243,Industrial instrument technicians and mechanics ,PS ,590,"$121,500.00",Limited ,60,"Team player, excellent oral communication, organized "
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors ",PS ,130,"$75,400.00",Fair ,30,"Team player, reliability, judgement, excellent oral communication, attention to detail, initiative "
2251,Architectural technologists and technicians ,PS ,320,"$57,200.00",Limited ,70,"Organized, attention to detail, team player "
2252,Industrial designers ,PS ,170,"$68,100.00",Fair ,30,"Attention to detail, tight deadlines, work under pressure "
2253,Drafting technologists and technicians ,PS ,940,"$73,400.00",Fair ,210,"Attention to detail, team player, organized "
2254,Land survey technologists and technicians ,PS ,100,"$94,900.00",Fair ,10,"Attention to detail, reliability, organized, dependability "
2255,Technical occupations in geomatics and meteorology ,PS ,270,"$76,100.00",Fair ,50,"Organized, attention to detail, accurate, excellent oral communication "
2261,Non-destructive testers and inspection technicians ,PS ,350,"$94,100.00",Fair ,50,"Attention to detail, organized, accurate "
2262,Engineering inspectors and regulatory officers ,PS ,180,"$92,800.00",Fair ,40,"Attention to detail, organized, reliability "
2263,Inspectors in public and environmental health and occupational health and safety ,PS ,1400,"$83,700.00",Fair ,210,"Excellent oral communication, team player, judgement "
2264,Construction inspectors ,PS ,610,"$76,100.00",Fair ,140,"Attention to detail, organized, effective interpersonal skills "
2271,"Air pilots, flight engineers and flying instructors ",PS ,510,"$77,100.00",Fair ,120,"Reliability, judgement, team player "
2272,Air traffic controllers and related occupations ,PS ,100,"$93,400.00",Fair ,20,n.a. 
2281,Computer network technicians ,PS ,1530,"$77,900.00",Fair ,190,"Attention to detail, team player, organized "
2282,User support technicians ,PS ,760,"$65,600.00",Fair ,90,"Team player, attention to detail, organized "
2283,Information systems testing technicians ,PS ,110,"$65,600.00",Fair ,10,"Tight deadlines, organized, attention to detail, flexibility "
3011,Nursing coordinators and supervisors ,Univ ,520,"$110,000.00",Good ,130,"Client focus, team player, values and ethics, effective interpersonal skills "
3012,Registered nurses and registered psychiatric nurses ,Univ ,12360,"$95,200.00",Good ,1900,"Effective interpersonal skills, team player, judgement "
3111,Specialist physicians ,Univ ,1290,"$139,400.00",Good ,200,"Team player, effective interpersonal skills, excellent oral communication "
3112,General practitioners and family physicians ,Univ ,1470,"$89,900.00",Good ,170,"Reliability, dependability, effective interpersonal skills "
3113,Dentists ,Univ ,400,"$156,600.00",Fair ,60,"Effective interpersonal skills, attention to detail, accurate "
3114,Veterinarians ,Univ ,370,"$90,200.00",Fair ,40,"Excellent oral communication, effective interpersonal skills, team player "
3121,Optometrists ,Univ ,130,"$90,900.00",Fair ,20,"Attention to detail, work under pressure, team player, effective interpersonal skills, values and ethics, client focus, reliability, excellent oral communication "
3122,Chiropractors ,Univ ,170,"$85,700.00",Good ,30,"Reliability, effective interpersonal skills, client focus, dependability "
3124,Allied primary health practitioners ,Univ ,210,"$125,600.00",Good ,40,"Excellent oral communication, effective interpersonal skills, reliability, team player, excellent written communication "
3131,Pharmacists ,Univ ,1310,"$111,100.00",Fair ,80,"Accurate, excellent oral communication, effective interpersonal skills "
3132,Dietitians and nutritionists ,Univ ,440,"$81,600.00",Fair ,40,"Reliability, team player, excellent oral communication, organized "
3141,Audiologists and speech-language pathologists ,Univ ,380,"$92,100.00",Good ,50,"Dependability, reliability, effective interpersonal skills "
3142,Physiotherapists ,Univ ,790,"$84,800.00",Good ,90,"Effective interpersonal skills, interpersonal awareness, excellent oral communication "
3143,Occupational therapists ,Univ ,400,"$82,900.00",Good ,40,"Excellent oral communication, organized, excellent written communication "
3144,Other professional occupations in therapy and assessment ,Univ ,330,"$59,800.00",Fair ,40,"Effective interpersonal skills, client focus, team player, dependability "
3211,Medical laboratory technologists ,PS ,810,"$78,600.00",Good ,180,"Attention to detail, excellent written communication, organized, excellent oral communication "
3212,Medical laboratory technicians and pathologists' assistants ,PS ,810,"$44,800.00",Good ,130,"Team player, reliability, effective interpersonal skills, excellent oral communication "
3213,Animal health technologists and veterinary technicians ,PS ,500,"$42,800.00",Limited ,30,"Organized, effective interpersonal skills, team player "
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists ",PS ,280,"$86,300.00",Good ,40,"Reliability, dependability, team player, excellent oral communication, organized "
3215,Medical radiation technologists ,PS ,890,"$81,500.00",Fair ,120,"Effective interpersonal skills, team player, judgement "
3216,Medical sonographers ,PS ,170,"$106,300.00",Good ,30,"Attention to detail, excellent oral communication, reliability, client focus, dependability "
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c. ",PS ,140,"$74,100.00",Good ,20,n.a. 
3219,Other medical technologists and technicians (except dental health) ,PS ,1090,"$39,500.00",Fair ,70,"Organized, accurate, team player "
3222,Dental hygienists and dental therapists ,PS ,650,"$75,500.00",Good ,80,"Team player, excellent oral communication, client focus "
3223,"Dental technologists, technicians and laboratory assistants ",PS ,110,"$57,000.00",Limited ,20,"Team player, attention to detail, effective interpersonal skills "
3231,Opticians ,PS ,290,"$48,900.00",Limited ,30,"Client focus, team player, reliability "
3232,Practitioners of natural healing ,PS ,210,"$23,100.00",Fair ,50,"Client focus, reliability, organized "
3233,Licensed practical nurses ,PS ,2780,"$77,700.00",Good ,390,"Attention to detail, team player, excellent oral communication, client focus "
3234,Paramedical occupations ,PS ,910,"$87,700.00",Good ,90,"Reliability, team player, flexibility "
3236,Massage therapists ,PS ,1180,"$41,300.00",Fair ,160,"Client focus, effective interpersonal skills, values and ethics "
3237,Other technical occupations in therapy and assessment ,PS ,290,"$57,700.00",Good ,50,"Reliability, organized, team player "
3411,Dental assistants ,HS ,910,"$49,500.00",Fair ,100,"Attention to detail, reliability, team player "
3413,"Nurse aides, orderlies and patient service associates ",HS ,10370,"$46,900.00",Good ,1720,"Team player, client focus, reliability "
3414,Other assisting occupations in support of health services ,HS ,1380,"$42,600.00",Fair ,210,"Reliability, organized, attention to detail "
4011,University professors and lecturers ,Univ ,2530,"$142,900.00",Fair ,270,"Excellent written communication, excellent oral communication, organized "
4012,Post-secondary teaching and research assistants ,Univ ,1960,"$43,400.00",Limited ,-10,"Attention to detail, team player, reliability "
4021,College and other vocational instructors ,Univ ,2580,"$88,800.00",Fair ,470,"Excellent oral communication, organized, client focus "
4031,Secondary school teachers ,Univ ,4170,"$86,300.00",Fair ,850,"Excellent oral communication, effective interpersonal skills, team player "
4032,Elementary school and kindergarten teachers ,Univ ,8580,"$84,600.00",Good ,1680,"Attention to detail, organized, excellent oral communication "
4033,Educational counsellors ,Univ ,700,"$75,500.00",Fair ,110,"Effective interpersonal skills, organized, excellent oral communication "
4111,Judges ,Univ ,90,"$287,000.00",Good ,20,n.a. 
4112,Lawyers and Quebec notaries ,Univ ,1780,"$129,600.00",Fair ,220,"Excellent oral communication, excellent written communication, attention to detail "
4151,Psychologists ,Univ ,430,"$103,400.00",Fair ,80,"Effective interpersonal skills, excellent oral communication, client focus "
4152,Social workers ,Univ ,2150,"$66,800.00",Fair ,320,"Effective interpersonal skills, client focus, reliability "
4153,"Family, marriage and other related counsellors ",Univ ,940,"$60,100.00",Fair ,180,"Effective interpersonal skills, judgement, reliability, client focus "
4154,Professional occupations in religion ,Univ ,1550,"$59,100.00",Fair ,360,"Excellent oral communication, initiative, flexibility "
4155,Probation and parole officers and related occupations ,Univ ,310,"$83,300.00",Limited ,30,n.a. 
4156,Employment counsellors ,Univ ,370,"$54,800.00",Fair ,80,"Client focus, excellent written communication, organized, excellent oral communication "
4161,"Natural and applied science policy researchers, consultants and program officers ",Univ ,660,"$71,600.00",Fair ,90,"Excellent oral communication, effective interpersonal skills, excellent written communication "
4162,Economists and economic policy researchers and analysts ,Univ ,280,"$92,900.00",Fair ,50,"Initiative, organized, accurate "
4163,Business development officers and marketing researchers and consultants ,Univ ,1130,"$86,600.00",Fair ,150,"Effective interpersonal skills, excellent oral communication, organized "
4164,"Social policy researchers, consultants and program officers ",Univ ,850,"$69,400.00",Fair ,120,"Organized, excellent oral communication, team player "
4165,"Health policy researchers, consultants and program officers ",Univ ,870,"$83,700.00",Fair ,130,"Team player, excellent written communication, work under pressure "
4166,"Education policy researchers, consultants and program officers ",Univ ,730,"$83,300.00",Fair ,140,"Effective interpersonal skills, team player, excellent oral communication "
4167,"Recreation, sports and fitness policy researchers, consultants and program officers ",Univ ,390,"$53,700.00",Fair ,60,"Team player, organized, excellent oral communication "
4168,Program officers unique to government ,Univ ,290,"$80,700.00",Fair ,60,n.a. 
4169,"Other professional occupations in social science, n.e.c. ",Univ ,140,"$81,600.00",Fair ,30,"Excellent oral communication, judgement, team player, interpersonal awareness "
4211,Paralegal and related occupations ,PS ,300,"$55,000.00",Fair ,50,"Organized, reliability, excellent written communication "
4212,Social and community service workers ,PS ,5200,"$46,400.00",Good ,860,"Team player, client focus, flexibility "
4214,Early childhood educators and assistants ,PS ,4930,"$32,000.00",Good ,800,"Team player, dependability, reliability "
4215,Instructors of persons with disabilities ,PS ,270,"$46,200.00",Fair ,50,"Effective interpersonal skills, flexibility, initiative "
4216,Other instructors ,PS ,660,"$59,900.00",Fair ,150,"Dependability, reliability, excellent oral communication "
4217,Other religious occupations ,PS ,290,"$44,600.00",Good ,80,"Effective interpersonal skills, excellent oral communication, dependability, values and ethics, reliability "
4311,Police officers (except commissioned) ,PS ,2170,"$113,300.00",Fair ,410,"Attention to detail, work under pressure, reliability, excellent written communication, tight deadlines, values and ethics, excellent oral communication, judgement, organized "
4312,Firefighters ,PS ,950,"$113,700.00",Fair ,210,"Team player, organized, judgement, excellent oral communication, reliability, excellent written communication, effective interpersonal skills, flexibility "
4313,Non-commissioned ranks of the Canadian Forces ,PS ,330,"$72,400.00",Fair ,40,"Effective interpersonal skills, team player, reliability, initiative, work under pressure, judgement, organized "
4411,Home child care providers ,HS ,4260,n.a. ,Good ,830,"Reliability, organized, flexibility "
4412,"Home support workers, housekeepers and related occupations ",HS ,2900,"$37,300.00",Fair ,580,"Reliability, dependability, flexibility "
4413,Elementary and secondary school teacher assistants ,HS ,4720,"$30,800.00",Good ,990,"Dependability, reliability, flexibility "
4421,Sheriffs and bailiffs ,HS ,140,"$62,500.00",Fair ,20,"Reliability, work under pressure, tight deadlines, attention to detail, organized, effective interpersonal skills, team player, flexibility, values and ethics, initiative, accurate, judgement "
4422,Correctional service officers ,HS ,1630,"$77,300.00",Fair ,230,"Values and ethics, reliability, judgement, effective interpersonal skills, team player, excellent oral communication, dependability, excellent written communication "
4423,"By-law enforcement and other regulatory officers, n.e.c. ",HS ,180,"$57,900.00",Fair ,40,"Reliability, judgement, attention to detail "
5111,Librarians ,Univ ,200,"$57,600.00",Fair ,50,"Organized, initiative, attention to detail, effective interpersonal skills "
5121,Authors and writers ,Univ ,400,"$49,000.00",Fair ,120,"Excellent written communication, team player, attention to detail "
5122,Editors ,Univ ,160,"$53,500.00",Good ,70,"Organized, excellent written communication, flexibility "
5123,Journalists ,Univ ,250,"$49,000.00",Good ,90,"Organized, initiative, excellent oral communication, excellent written communication "
5125,"Translators, terminologists and interpreters ",Univ ,140,n.a. ,Fair ,20,"Attention to detail, excellent oral communication, tight deadlines, accurate "
5131,"Producers, directors, choreographers and related occupations ",Univ ,320,"$43,400.00",Fair ,40,"Organized, effective interpersonal skills, excellent oral communication "
5133,Musicians and singers ,Univ ,900,"$36,200.00",Fair ,190,"Attention to detail, tight deadlines, work under pressure "
5134,Dancers ,Univ ,330,"$47,500.00",Fair ,30,"Attention to detail, work under pressure, tight deadlines "
5135,Actors and comedians ,Univ ,80,n.a. ,Fair ,10,"Effective interpersonal skills, excellent oral communication, interpersonal awareness "
5136,"Painters, sculptors and other visual artists ",Univ ,350,n.a. ,Good ,120,"Team player, initiative, attention to detail "
5211,Library and public archive technicians ,PS ,480,"$43,700.00",Fair ,120,"Organized, attention to detail, excellent written communication "
5212,Technical occupations related to museums and art galleries ,PS ,230,"$24,600.00",Limited ,30,"Excellent oral communication, attention to detail, dependability "
5221,Photographers ,PS ,450,"$30,700.00",Fair ,70,"Flexibility, attention to detail, client focus "
5222,Film and video camera operators ,PS ,60,n.a. ,Limited ,10,n.a. 
5225,Audio and video recording technicians ,PS ,120,"$48,500.00",Limited ,20,"Attention to detail, organized "
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts ",PS ,200,"$67,400.00",Fair ,30,"Team player, attention to detail, dependability "
