date,category,score,invitations,nocs
08-Jul-21,Occupations In-Demand,80,196,"0013, 0014, 0016, 0114, 0121, 0124, 0421, 0423, 0621, 0651, 0711, 0712, 0821, 0822, 0911, 1121, 1122, 1123, 1213, 1214, 1215, 1221, 1222, 1224, 1241, 1243, 1252, 1313, 2131, 2132, 2151, 2212, 2232, 2241, 2242, 2253, 2262, 2263, 2264, 3211, 3234, 4033, 4152, 4162, 4165, 4166, 4169, 4212, 4216, 7236, 7237, 7241, 7242, 7244, 7251, 7294, 7321, 7371, 7384, 8221, 8222, 9212 "
15-Jun-21,Express Entry,82,103,"0013, 0014, 0016, 0124, 0421, 0423, 0621, 0711, 0712, 0821, 0911, 1121, 1122, 1123, 1214, 1215, 1221, 1222, 1224, 1241, 1242, 1243, 1252, 2131, 2144, 2151, 2212, 2225, 2231, 2232, 2241, 2242, 2244, 2253, 2263, 2264, 3143, 3211, 3234, 4033, 4152, 4153, 4156, 4161, 4162, 4164, 4165, 4166, 4212, 4216, 7231, 7237, 7246, 7384, 8221 "
15-Jun-21,Occupations In-Demand,82,152,"0013, 0014, 0016, 0124, 0421, 0423, 0621, 0711, 0712, 0821, 0911, 1121, 1122, 1123, 1214, 1215, 1221, 1222, 1224, 1241, 1242, 1243, 1252, 2131, 2144, 2151, 2212, 2225, 2231, 2232, 2241, 2242, 2244, 2253, 2263, 2264, 3143, 3211, 3234, 4033, 4152, 4153, 4156, 4161, 4162, 4164, 4165, 4166, 4212, 4216, 7231, 7237, 7246, 7384, 8221"
25-May-21,Occupations In-Demand,65,269,"0711, 0712, 0714, 0731, 7201, 7202, 7203, 7205, 7231, 7232, 7234, 7237, 7242, 7243, 7245, 7246, 7271, 7281, 7282, 7283, 7291, 7294, 7301, 7302, 7304, 7305, 7311, 7312, 7313, 7321, 7322, 7333, 7335, 7371, 7381, 7384 "
06-May-21,Occupations In-Demand,70,123,"0014, 0016, 0121, 0131, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 1122, 1222, 1224, 1242, 1243, 1252, 1253, 1313, 2131, 2151, 2211, 2212, 2223, 2231, 2232, 2241, 2242, 2243, 2253, 2263, 2264, 3143, 3211, 3212, 3215, 3223, 3234, 4033, 4152, 4156, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 6316, 7202, 7231, 7237, 7245, 7246, 7251, 7281, 7313, 7371, 8222, 9212, 9232 "
06-May-21,Express Entry,70,136,"0014, 0016, 0121, 0131, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 1122, 1222, 1224, 1242, 1243, 1252, 1253, 1313, 2131, 2151, 2211, 2212, 2223, 2231, 2232, 2241, 2242, 2243, 2253, 2263, 2264, 3143, 3211, 3212, 3215, 3223, 3234, 4033, 4152, 4156, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 6316, 7202, 7231, 7237, 7245, 7246, 7251, 7281, 7313, 7371, 8222, 9212, 9232 "
22-Apr-21,Express Entry,70,130,"0014, 0016, 0121, 0131, 0132, 0421, 0651, 0711, 0712, 0714, 0731, 0821, 0822, 0911, 0912, 1122, 1222, 1224, 1225, 1242, 1243, 1252, 1313, 2131, 2151, 2211, 2231, 2232, 2241, 2242, 2252, 2253, 2263, 2264, 2272, 3211, 3212, 3215, 3223, 3234, 3237, 4033, 4152, 4161, 4162, 4164, 4165, 4212, 4216, 6316, 7202, 7244, 7246, 7271, 7301, 7305, 7321, 8231, 8255, 9212, 9232 "
22-Apr-21,Occupations In-Demand,70,139,"0014, 0016, 0121, 0131, 0132, 0421, 0651, 0711, 0712, 0714, 0731, 0821, 0822, 0911, 0912, 1122, 1222, 1224, 1225, 1242, 1243, 1252, 1313, 2131, 2151, 2211, 2231, 2232, 2241, 2242, 2252, 2253, 2263, 2264, 2272, 3211, 3212, 3215, 3223, 3234, 3237, 4033, 4152, 4161, 4162, 4164, 4165, 4212, 4216, 6316, 7202, 7244, 7246, 7271, 7301, 7305, 7321, 8231, 8255, 9212, 9232 "
08-Apr-21,Occupations In-Demand,70,133,"0014, 0016, 0121, 0131, 0132, 0212, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 1122, 1222, 1224, 1225, 1242, 1243, 1252, 2131, 2144, 2151, 2211, 2212, 2232, 2241, 2253, 2263, 2282, 3211, 3212, 3216, 3217, 3223, 3234, 4033, 4152, 4156, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 6222, 6316, 7237, 7242, 7246, 7251, 7322, 9213, 9226, 9232 "
08-Apr-21,Express Entry,70,146,"0014, 0016, 0121, 0131, 0132, 0212, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 1122, 1222, 1224, 1225, 1242, 1243, 1252, 2131, 2144, 2151, 2211, 2212, 2232, 2241, 2253, 2263, 2282, 3211, 3212, 3216, 3217, 3223, 3234, 4033, 4152, 4156, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 6222, 6316, 7237, 7242, 7246, 7251, 7322, 9213, 9226, 9232 "
24-Mar-21,Occupations In-Demand,70,235,"0014, 0016, 0121, 0131, 0132, 0212, 0421, 0423, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1122, 1211, 1214, 1222, 1224, 1225, 1242, 1243, 1252, 2121, 2131, 2148, 2151, 2211, 2212, 2222, 2232, 2241, 2242, 2243, 2252, 2253, 2263, 2282, 3211, 3212, 3215, 3217, 3234, 3237, 4033, 4151, 4152, 4153, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 4215, 4216, 6222, 6316, 7202, 7205, 7231, 7237, 7242, 7251, 7294, 7311, 7321, 7333, 8222, 8255, 9212, 9213, 9226, 9231, 9232, 9241 "
24-Mar-21,Express Entry,70,183,"0014, 0016, 0121, 0131, 0132, 0212, 0421, 0423, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1122, 1211, 1214, 1222, 1224, 1225, 1242, 1243, 1252, 2121, 2131, 2148, 2151, 2211, 2212, 2222, 2232, 2241, 2242, 2243, 2252, 2253, 2263, 2282, 3211, 3212, 3215, 3217, 3234, 3237, 4033, 4151, 4152, 4153, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 4215, 4216, 6222, 6316, 7202, 7205, 7231, 7237, 7242, 7251, 7294, 7311, 7321, 7333, 8222, 8255, 9212, 9213, 9226, 9231, 9232, 9241 "
11-Mar-21,Express Entry,71,72,"0014, 0016, 0121, 0131, 0132, 0212, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1122, 1211, 1213, 1222, 1224, 1225, 1242, 1243, 1251, 1313, 2121, 2131, 2148, 2151, 2211, 2212, 2222, 2232, 2241, 2242, 2252, 2253, 2263, 2272, 2282, 3143, 3211, 3212, 3214, 3216, 3217, 3223, 3234, 4033, 4151, 4152, 4161, 4162, 4164, 4165, 4166, 4212, 4215, 4216, 6222, 6316, 7202, 7231, 7237, 7242, 7245, 7301, 7305, 7312, 7321, 7333, 9212, 9213, 9232, 9241"
11-Mar-21,Occupations In-Demand,71,176,"0014, 0016, 0121, 0131, 0132, 0212, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1122, 1211, 1213, 1222, 1224, 1225, 1242, 1243, 1251, 1313, 2121, 2131, 2148, 2151, 2211, 2212, 2222, 2232, 2241, 2242, 2252, 2253, 2263, 2272, 2282, 3143, 3211, 3212, 3214, 3216, 3217, 3223, 3234, 4033, 4151, 4152, 4161, 4162, 4164, 4165, 4166, 4212, 4215, 4216, 6222, 6316, 7202, 7231, 7237, 7242, 7245, 7301, 7305, 7312, 7321, 7333, 9212, 9213, 9232, 9241"
25-Feb-21,Express Entry,70,299,"0014, 0016, 0121, 0131, 0212, 0421, 0423, 0651, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1122, 1211, 1213, 1222, 1224, 1225, 1242, 1243, 1253, 1313, 2121, 2131, 2142, 2144, 2148, 2151, 2211, 2212, 2232, 2241, 2242, 2263, 2282, 3143, 3211, 3212, 3215, 3216, 3223, 3234, 3237, 4033, 4151, 4152, 4161, 4162, 4164, 4165, 4166, 4167, 4169, 4212, 4215, 6222, 6316, 6342, 7231, 7271, 7313, 7321, 7322, 8222, 9213, 9232, 9241"
11-Feb-21,Express Entry,72,344,"0013, 0014, 0016, 0121, 0124, 0131, 0421, 0423, 0601, 0621, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1121, 1122, 1123, 1211, 1214, 1215, 1221, 1222, 1224, 1225, 1241, 1242, 1243, 1252, 1313, 2121, 2131, 2132, 2143, 2144, 2148, 2151, 2161, 2211, 2212, 2222, 2232, 2241, 2242, 2243, 2252, 2253, 2262, 2263, 2281, 2282, 3143, 3211, 3212, 3234, 3237, 4033, 4152, 4161, 4162, 4164, 4165, 4166, 4167, 4169, 4212, 4215, 4216, 6221, 6222, 6235, 6316, 6342, 7231, 7237, 7242, 7251, 7283, 7294, 7313, 7321, 7322, 7381, 8222, 9212, 9213, 9241"
11-Feb-21,Occupations In-Demand,72,197,"0013, 0014, 0016, 0121, 0124, 0131, 0421, 0423, 0601, 0621, 0711, 0712, 0714, 0731, 0821, 0911, 0912, 1121, 1122, 1123, 1211, 1214, 1215, 1221, 1222, 1224, 1225, 1241, 1242, 1243, 1252, 1313, 2121, 2131, 2132, 2143, 2144, 2148, 2151, 2161, 2211, 2212, 2222, 2232, 2241, 2242, 2243, 2252, 2253, 2262, 2263, 2281, 2282, 3143, 3211, 3212, 3234, 3237, 4033, 4152, 4161, 4162, 4164, 4165, 4166, 4167, 4169, 4212, 4215, 4216, 6221, 6222, 6235, 6316, 6342, 7231, 7237, 7242, 7251, 7283, 7294, 7313, 7321, 7322, 7381, 8222, 9212, 9213, 9241"
21-Jan-21,Express Entry,77,189,"0013, 0014, 0016, 0121, 0124, 0131, 0132, 0213, 0423, 0601, 0621, 0711, 0712, 0714, 0821, 0911, 0912, 1112, 1121, 1122, 1123, 1211, 1212, 1214, 1221, 1222, 1225, 1242, 1243, 2121, 2131, 2132, 2148, 2151, 2161, 2211, 2212, 2232, 2241, 2242, 2243, 2253, 2262, 2263, 2281, 2282, 3143, 3211, 3212, 3215, 3216, 3217, 3223, 3234, 3237, 4033, 4151, 4152, 4153, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 4215, 6221, 6222, 6235, 6342, 7231, 7311, 7321, 7322, 8222, 9212, 9213, 9232"
21-Jan-21,Occupations In-Demand,77,313,"0013, 0014, 0016, 0121, 0124, 0131, 0132, 0213, 0423, 0601, 0621, 0711, 0712, 0714, 0821, 0911, 0912, 1112, 1121, 1122, 1123, 1211, 1212, 1214, 1221, 1222, 1225, 1242, 1243, 2121, 2131, 2132, 2148, 2151, 2161, 2211, 2212, 2232, 2241, 2242, 2243, 2253, 2262, 2263, 2281, 2282, 3143, 3211, 3212, 3215, 3216, 3217, 3223, 3234, 3237, 4033, 4151, 4152, 4153, 4161, 4162, 4164, 4165, 4166, 4169, 4212, 4215, 6221, 6222, 6235, 6342, 7231, 7311, 7321, 7322, 8222, 9212, 9213, 9232"
07-Jan-21,Express Entry,71,148,"0013, 0014, 0016, 0112, 0114, 0121, 0125, 0212, 0421, 0423, 0601, 0621, 0631, 0632, 0651, 0711, 0714, 0821, 0912, 1114, 1121, 1211, 1213, 1214, 1215, 1221, 1222, 1224, 1225, 1241, 1242, 1243, 1252, 1311, 1313, 2131, 2144, 2147, 2172, 2173, 2174, 2175, 2222, 2224, 2233, 2234, 2242, 2244, 2253, 2262, 2263, 2264, 3211, 3212, 3215, 3234, 4033, 4151, 4152, 4161, 4164, 4165, 4166, 4216, 6221, 6222, 6235, 6316, 6332, 7202, 7205, 7241, 7245, 7246, 7251, 8255, 9213, 9226, 9241"
07-Jan-21,Occupations In-Demand,71,237,"0013, 0014, 0016, 0112, 0114, 0121, 0125, 0212, 0421, 0423, 0601, 0621, 0631, 0632, 0651, 0711, 0714, 0821, 0912, 1114, 1121, 1211, 1213, 1214, 1215, 1221, 1222, 1224, 1225, 1241, 1242, 1243, 1252, 1311, 1313, 2131, 2144, 2147, 2172, 2173, 2174, 2175, 2222, 2224, 2233, 2234, 2242, 2244, 2253, 2262, 2263, 2264, 3211, 3212, 3215, 3234, 4033, 4151, 4152, 4161, 4164, 4165, 4166, 4216, 6221, 6222, 6235, 6316, 6332, 7202, 7205, 7241, 7245, 7246, 7251, 8255, 9213, 9226, 9241"
17-Dec-20,Express Entry,71,190,"0013, 0014, 0016, 0112, 0114, 0121, 0125, 0212, 0421, 0423, 0601, 0621, 0631, 0651, 0711, 0712, 0714, 0731, 0821, 1114, 1121, 1211, 1213, 1215, 1221, 1222, 1224, 1225, 1226, 1241, 1242, 1243, 1251, 1252, 1254, 1311, 2131, 2144, 2147, 2172, 2173, 2174, 2175, 2233, 2242, 2252, 2253, 2262, 2263, 2264, 3143, 3211, 3214, 3215, 3234, 3237, 4033, 4151, 4152, 4153, 4156, 4161, 4165, 4166, 4169, 4212, 4215, 6221, 6222, 6235, 6315, 6321, 6332, 7202, 7204, 7232, 7237, 7241, 7246, 7251, 7281, 7301, 7305, 7311, 7315, 7321, 7322, 9213, 9226"
17-Dec-20,Occupations In-Demand,71,386,"0013, 0014, 0016, 0112, 0114, 0121, 0125, 0212, 0421, 0423, 0601, 0621, 0631, 0651, 0711, 0712, 0714, 0731, 0821, 1114, 1121, 1211, 1213, 1215, 1221, 1222, 1224, 1225, 1226, 1241, 1242, 1243, 1251, 1252, 1254, 1311, 2131, 2144, 2147, 2172, 2173, 2174, 2175, 2233, 2242, 2252, 2253, 2262, 2263, 2264, 3143, 3211, 3214, 3215, 3234, 3237, 4033, 4151, 4152, 4153, 4156, 4161, 4165, 4166, 4169, 4212, 4215, 6221, 6222, 6235, 6315, 6321, 6332, 7202, 7204, 7232, 7237, 7241, 7246, 7251, 7281, 7301, 7305, 7311, 7315, 7321, 7322, 9213, 9226"
01-Dec-20,Express Entry,74,138,"0013, 0014, 0016, 0112, 0114, 0121, 0125, 0421, 0423, 0601, 0621, 0631, 0632, 0651, 0711, 0714, 0731, 0821, 0912, 1114, 1121, 1211, 1215, 1221, 1222, 1225, 1226, 1241, 1242, 1243, 1252, 1311, 2131, 2144, 2147, 2172, 2173, 2174, 2175, 2222, 2233, 2234, 2242, 2253, 2262, 2263, 3143, 3211, 3212, 3215, 3234, 3237, 4033, 4151, 4152, 4161, 4164, 4165, 4167, 4169, 4212, 4215, 4216, 6221, 6222, 6235, 6315, 6331, 6332, 7202, 7205, 7231, 7237, 7241, 7242, 7243, 7251, 7281, 7312, 7315, 7321, 7371, 9212, 9226, 9231, 9241"
01-Dec-20,Occupations In-Demand,74,426,"0013, 0014, 0016, 0112, 0114, 0121, 0125, 0421, 0423, 0601, 0621, 0631, 0632, 0651, 0711, 0714, 0731, 0821, 0912, 1114, 1121, 1211, 1215, 1221, 1222, 1225, 1226, 1241, 1242, 1243, 1252, 1311, 2131, 2144, 2147, 2172, 2173, 2174, 2175, 2222, 2233, 2234, 2242, 2253, 2262, 2263, 3143, 3211, 3212, 3215, 3234, 3237, 4033, 4151, 4152, 4161, 4164, 4165, 4167, 4169, 4212, 4215, 4216, 6221, 6222, 6235, 6315, 6331, 6332, 7202, 7205, 7231, 7237, 7241, 7242, 7243, 7251, 7281, 7312, 7315, 7321, 7371, 9212, 9226, 9231, 9241"
19-Nov-20,Express Entry,78,214,"0013, 0111, 0112, 0114, 0125, 0212, 0601, 0621, 0631, 0651, 0714, 0731, 1114, 1121, 1211, 1215, 1221, 1222, 1225, 1242, 1243, 1311, 1313, 2131, 2142, 2147, 2172, 2173, 2174, 2175, 2221, 2233, 2253, 2263, 2283, 3143, 3211, 3212, 3215, 3219, 4151, 4164, 4165, 4212, 4214, 4215, 6221, 6235, 6332, 7231, 7237, 7241, 7246, 7271, 9212, 9241"
19-Nov-20,Occupations In-Demand,80,337,"0013, 0014, 0016, 0111, 0112, 0114, 0121, 0125, 0421, 0601, 0621, 0631, 0632, 0711, 0714, 0821, 0822, 0912, 1114, 1121, 1211, 1214, 1215, 1221, 1222, 1223, 1225, 1226, 1242, 1311, 1313, 2131, 2143, 2147, 2172, 2173, 2174, 2175, 2221, 2222, 2253, 2263, 2283, 3211, 3219, 3234, 4033, 4152, 4153, 4161, 4165, 4166, 4212, 4214, 4215, 4216, 6221, 6222, 6235, 6315, 6321, 6331, 6332, 7205, 7231, 7237, 7242, 7243, 7281, 7294, 7315, 7321, 7322, 9213, 9241"
03-Nov-20,Express Entry,68,272,"0016, 0212, 0421, 0423, 0632, 0651, 0712, 0731, 0811, 0821, 0912, 2222, 2233, 2234, 2242, 2244, 2251, 2253, 2262, 2264, 2272, 3212, 3217, 3219, 3223, 3237, 4033, 4156, 4161, 4164, 4166, 4167, 4169, 4216, 6222, 6312, 6315, 6316, 6321, 7245, 7246, 7315, 7333, 8222, 9212, 9213, 9241"
03-Nov-20,Occupations In-Demand,68,262,"0016, 0212, 0421, 0423, 0632, 0651, 0712, 0731, 0811, 0821, 0912, 2222, 2233, 2234, 2242, 2244, 2251, 2253, 2261, 2262, 2264, 3212, 3217, 3219, 3223, 3237, 4033, 4156, 4161, 4164, 4166, 4167, 4169, 4216, 6222, 6312, 6315, 6316, 6321, 7232, 7245, 7246, 7305, 7311, 7313, 7315, 7334, 7384, 8222, 8255, 9212, 9213, 9226, 9231, 9241"
21-Oct-20,Express Entry,69,340,"0111, 1221, 1114, 0601, 6221, 0112, 4163, 1121, 0125, 0714, 0113, 6235, 1215, 1223, 0013, 0114, 0711, 1222, 4165, 1242, 1225, 2263, 3219, 4033, 0014, 3223, 2251, 4166, 6222, 4161, 3212, 0212, 0121, 9226, 0421, 0016, 1313, 0821, 3237, 1243, 0632, 8222, 2233, 2253, 2242, 2262, 2222, 4164, 7246, 1224, 9213, 2264, 0423, 4167"
21-Oct-20,Occupations In-Demand,78,278,"0013, 0014, 0016, 0111, 0112, 0113, 0114, 0121, 0125, 0212, 0421, 0423, 0601, 0632, 0711, 0712, 0714, 0731, 0811, 0821, 1114, 1121, 1211, 1214, 1215, 1221, 1222, 1223, 1224, 1225, 1242, 1243, 1252, 1254, 2222, 2233, 2234, 2242, 2251, 2253, 2263, 2272, 3212, 3219, 3223, 3237, 4033, 4161, 4163, 4164, 4166, 4216, 6221, 6222, 6235, 6315, 6321, 6344, 7246, 7301, 7311, 7313, 7384, 8222, 9226, 9231"
07-Oct-20,Express Entry,70,455,"0013, 0014, 0111, 0112, 0113, 0114, 0121, 0125, 0212, 0421, 0601, 0632, 0651, 0711, 0714, 0731, 0821, 0912, 1114, 1121, 1211, 1215, 1221, 1222, 1223, 1225, 1226, 1241, 1242, 1243, 1251, 1252, 1253, 1254, 1313, 2112, 2222, 2233, 2234, 2242, 2251, 2253, 2262, 2263, 2272, 3212, 3219, 3223, 3237, 4033, 4161, 4163, 4164, 4165, 4166, 4169, 6221, 6235, 6321, 7245, 7246, 7301, 7311, 7333, 9212, 9213, 9241"
24-Sep-20,Occupations In-Demand,82,257,"0013, 0014, 0016, 0111, 0112, 0113, 0114, 0121, 0124, 0125, 0212, 0213, 0421, 0423, 0601, 0711, 0712, 0714, 0731, 0821, 0911, 1112, 1114, 1121, 1122, 1123, 1211, 1212, 1215, 1221, 1222, 1223, 1224, 1225, 1241, 1242, 1243, 1252, 1313, 2112, 2121, 2171, 2212, 2222, 2231, 2232, 2233, 2234, 2241, 2242, 2243, 2251, 2254, 2262, 2263, 2264, 2281, 2282, 2283, 3219, 3237, 4033, 4161, 4162, 4163, 4164, 4165, 4166, 4169, 6221, 6235, 6313, 6316, 6342, 7305, 7311, 8222, 8241, 8252, 9212, 9213"
24-Sep-20,Express Entry,82,278,"0013, 0014, 0016, 0111, 0112, 0113, 0114, 0121, 0124, 0125, 0212, 0213, 0421, 0423, 0601, 0711, 0712, 0714, 0731, 0821, 0911, 1112, 1114, 1121, 1122, 1123, 1211, 1212, 1215, 1221, 1222, 1223, 1224, 1225, 1241, 1242, 1243, 1252, 1313, 2112, 2121, 2171, 2212, 2222, 2231, 2232, 2233, 2234, 2241, 2242, 2243, 2251, 2254, 2262, 2263, 2264, 2281, 2282, 2283, 3219, 3237, 4033, 4161, 4162, 4163, 4164, 4165, 4166, 4169, 6221, 6235, 6313, 6316, 6342, 7305, 7311, 8222, 8241, 8252, 9212, 9213"
15-Sep-20,Occupations In-Demand,68,166,"2173, 2174, 2175"
15-Sep-20,Express Entry,68,455,"2173, 2174, 2175"
26-Aug-20,Occupations In-Demand,68,573,"0013, 0111, 0112, 0121, 0131, 0132, 0421, 0423, 0632, 0711, 0714, 0821, 0822, 0912, 1114, 1121, 1214, 1215, 1221, 1225, 1241, 1313, 2143, 2144, 2148, 2222, 2234, 2242, 2263, 2264, 3143, 3211, 3212, 3215, 3219, 3234, 4151, 4152, 4153, 4165, 4212, 7246, 7301, 7312, 7315, 7321, 7322, 9212, 9213, 9232, 9241"
